dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
lda,rbf,1,1000,,1000,0.48463784297928214,4.5128408938180655,31.188755298033357
lda,rbf,10,0.001,,1000,0.48495449079200625,4.548419475788251,10.950624744175002
lda,rbf,10,0.01,,1000,0.48513905494473875,4.536913553019986,10.159459239104763
lda,rbf,10,0.1,,1000,0.4851539731025696,4.523996795993298,10.733251764904708
lda,rbf,10,1,,1000,0.48645620001479983,4.549979173112661,28.19284257898107
lda,rbf,10,10,,1000,0.48426233790814877,4.5207129451446235,37.13252417300828
lda,rbf,10,100,,1000,0.48465071129612625,4.548942442983389,36.02036224794574
lda,rbf,10,1000,,1000,0.4843552631791681,4.520299325929955,30.948687789030373
lda,rbf,100,0.001,,1000,0.4852774408645928,4.53001853893511,10.613895977148786
lda,rbf,100,0.01,,1000,0.48530651279725134,4.526185300666839,9.200809501111507
lda,rbf,100,0.1,,1000,0.48452357808128,4.612515192013234,9.487949294038117
lda,rbf,100,1,,1000,0.4868959200102836,4.533420067979023,27.930479396833107
lda,rbf,100,10,,1000,0.48429146711714566,4.573656572960317,37.101210521068424
lda,rbf,100,100,,1000,0.4849701870698482,4.552364791743457,36.01760440808721
lda,rbf,100,1000,,1000,0.48844289197586477,4.5294829739723355,31.00677182385698
lda,rbf,1000,0.001,,1000,0.4845451437868178,4.517216749954969,9.110478117829189
lda,rbf,1000,0.01,,1000,0.48428598907776177,4.502269619144499,8.869511621072888
lda,rbf,1000,0.1,,1000,0.48499530483968556,4.547382252058014,9.389651273842901
lda,rbf,1000,1,,1000,0.48424044298008084,4.523449146188796,27.903929620049894
lda,rbf,1000,10,,1000,0.48825007607229054,4.539505718043074,37.111590393818915
lda,rbf,1000,100,,1000,0.48426837008446455,4.514567753998563,36.02503929683007
lda,rbf,1000,1000,,1000,0.48294267524033785,4.500905005028471,30.935526550048962
pca_50,poly,0.001,0.001,1,1000,0.5385073660872877,0.5318671041168272,42.57454800396226
pca_50,poly,0.001,0.001,2,1000,0.4820699898991734,0.5463236370123923,43.19618782098405
pca_50,poly,0.001,0.001,3,1000,0.4834884328301996,0.5471014948561788,43.158595249056816
pca_50,poly,0.001,0.001,4,1000,0.4826611648313701,0.5457754128146917,43.4687953281682
pca_50,poly,0.001,0.001,5,1000,0.48646880965679884,0.5487365019507706,43.323862249962986
pca_50,poly,0.001,0.01,1,1000,0.4846609430387616,0.5465662400238216,40.16017896402627
pca_50,poly,0.001,0.01,2,1000,0.48087667021900415,0.5468127350322902,37.31399740395136
pca_50,poly,0.001,0.01,3,1000,0.4855454640928656,0.5627011600881815,24.41803630301729
pca_50,poly,0.001,0.01,4,1000,0.4838123479858041,0.561674440279603,22.682813886087388
pca_50,poly,0.001,0.01,5,1000,0.4811556991189718,0.5459835999645293,19.360650283982977
pca_50,poly,0.001,0.1,1,1000,0.4879194260574877,0.5599697390571237,23.5214887810871
pca_50,poly,0.001,0.1,2,1000,0.4839390830602497,0.5610226010903716,15.185764707857743
pca_50,poly,0.001,0.1,3,1000,0.4839197888504714,0.5469683678820729,10.923430857015774
pca_50,poly,0.001,0.1,4,1000,0.48378878901712596,0.5619388052728027,12.50961291207932
pca_50,poly,0.001,0.1,5,1000,0.48412700602784753,0.5592095041647553,12.262151489965618
pca_50,poly,0.001,1,1,1000,0.4845821091439575,0.5589070098940283,18.709806022932753
pca_50,poly,0.001,1,2,1000,0.4809253509156406,0.5454677839297801,12.560129599878564
pca_50,poly,0.001,1,3,1000,0.4895164950285107,0.560925394995138,11.302630370017141
pca_50,poly,0.001,1,4,1000,0.492047670064494,0.5595817037392408,11.690996774006635
pca_50,poly,0.001,1,5,1000,0.48364484100602567,0.5607055709697306,11.76304647186771
pca_50,poly,0.001,10,1,1000,0.47652172506786883,0.5287025817669928,13.725979453884065
pca_50,poly,0.001,10,2,1000,0.47572109499014914,0.5157716330140829,10.147091537015513
pca_50,poly,0.001,10,3,1000,0.47529394505545497,0.5574543229304254,10.845957031939179
pca_50,poly,0.001,10,4,1000,0.4764501918107271,0.5568433720618486,10.919980886159465
pca_50,poly,0.001,10,5,1000,0.4785053371451795,0.5563544451724738,11.284300062106922
pca_50,poly,0.001,100,1,1000,0.4761283481493592,0.557839544955641,10.070285907946527
pca_50,poly,0.001,100,2,1000,0.47889139992184937,0.5588717448990792,10.873718765797094
pca_50,poly,0.001,100,3,1000,0.4764372049830854,0.5560020010452718,10.781308167846873
pca_50,poly,0.001,100,4,1000,0.477087328908965,0.5581033651251346,11.71615771506913
pca_50,poly,0.001,100,5,1000,0.4773221146315336,0.5566055220551789,12.046785827027634
pca_50,poly,0.001,1000,1,1000,0.47605658881366253,0.5584965599700809,9.508369451155886
pca_50,poly,0.001,1000,2,1000,0.47558349394239485,0.5590841039083898,11.098654920002446
pca_50,poly,0.001,1000,3,1000,0.4752126610837877,0.5570672629401088,10.564765176037326
pca_50,poly,0.001,1000,4,1000,0.4766854150220752,0.5585235059261322,11.808937418973073
pca_50,poly,0.001,1000,5,1000,0.47508488362655044,0.5587856110651046,11.277296012965962
pca_50,poly,0.01,0.001,1,1000,0.47697602421976626,0.5554638968314976,37.05270189908333
pca_50,poly,0.01,0.001,2,1000,0.4735934347845614,0.5390778877772391,39.17498645489104
pca_50,poly,0.01,0.001,3,1000,0.47654327587224543,0.5409436139743775,39.18397559504956
pca_50,poly,0.01,0.001,4,1000,0.47689594398252666,0.5412023458629847,39.45812941598706
pca_50,poly,0.01,0.001,5,1000,0.47677283897064626,0.5412567069288343,39.26965257595293
pca_50,poly,0.01,0.01,1,1000,0.47610432794317603,0.5410228411201388,22.330083803040907
pca_50,poly,0.01,0.01,2,1000,0.47710740100592375,0.557256214087829,19.627465370111167
pca_50,poly,0.01,0.01,3,1000,0.47315837093628943,0.5391928642056882,14.271899291081354
pca_50,poly,0.01,0.01,4,1000,0.4727612209971994,0.539509226102382,13.766770184971392
pca_50,poly,0.01,0.01,5,1000,0.4755383387673646,0.5561211220920086,13.255131653044373
pca_50,poly,0.01,0.1,1,1000,0.47586855688132346,0.5586745431646705,15.970339764840901
pca_50,poly,0.01,0.1,2,1000,0.4734432720579207,0.540807819692418,10.63830800796859
pca_50,poly,0.01,0.1,3,1000,0.4752078561577946,0.5562715921550989,10.70428938488476
pca_50,poly,0.01,0.1,4,1000,0.4755974467843771,0.5563982978928834,11.808359977090731
pca_50,poly,0.01,0.1,5,1000,0.47614035615697503,0.556016517104581,11.586499213939533
pca_50,poly,0.01,1,1,1000,0.47739107394590974,0.5581979409325868,12.899879893986508
pca_50,poly,0.01,1,2,1000,0.4771516427863389,0.5393682001158595,10.054495330201462
pca_50,poly,0.01,1,3,1000,0.47636574786156416,0.5564495401922613,11.043237147154287
pca_50,poly,0.01,1,4,1000,0.48141212691552937,0.5570538921747357,11.5465851619374
pca_50,poly,0.01,1,5,1000,0.4751857758965343,0.5569487428292632,12.441773124970496
pca_50,poly,0.01,10,1,1000,0.47612978890538216,0.559475407935679,9.343117822892964
pca_50,poly,0.01,10,2,1000,0.47643262590281665,0.5589296789839864,12.157574923941866
pca_50,poly,0.01,10,3,1000,0.4785329250153154,0.5663284931797534,10.434121418045834
pca_50,poly,0.01,10,4,1000,0.4754740600474179,0.5571649668272585,11.812359554227442
pca_50,poly,0.01,10,5,1000,0.476778871845454,0.5576000097207725,11.323537044227123
pca_50,poly,0.01,100,1,1000,0.4755954989232123,0.5585018459241837,9.42939802003093
pca_50,poly,0.01,100,2,1000,0.4779568179510534,0.5582651752047241,11.054396032821387
pca_50,poly,0.01,100,3,1000,0.4766782019287348,0.5573381399735808,9.79075285489671
pca_50,poly,0.01,100,4,1000,0.4767103409394622,0.558143783826381,11.981634521856904
pca_50,poly,0.01,100,5,1000,0.476131992880255,0.5584458210505545,11.563553265994415
pca_50,poly,0.01,1000,1,1000,0.4759614272043109,0.5567085910588503,9.385272740852088
pca_50,poly,0.01,1000,2,1000,0.47602794994600117,0.5582381261046976,10.989946137182415
pca_50,poly,0.01,1000,3,1000,0.47439225600101054,0.5550715860445052,10.842607630882412
pca_50,poly,0.01,1000,4,1000,0.4752620621584356,0.5575618951115757,13.164546415908262
pca_50,poly,0.01,1000,5,1000,0.4757185550406575,0.5307072990108281,11.79545950004831
pca_50,poly,0.1,0.001,1,1000,0.4774772278033197,0.5278971530497074,21.53471895190887
pca_50,poly,0.1,0.001,2,1000,0.4762822021730244,0.5536990319378674,34.89349622302689
pca_50,poly,0.1,0.001,3,1000,0.47483405587263405,0.5591428838670254,35.55737824807875
pca_50,poly,0.1,0.001,4,1000,0.47702294611372054,0.5443104568403214,37.41502718394622
pca_50,poly,0.1,0.001,5,1000,0.4761185811366886,0.5430416828021407,37.19693110301159
pca_50,poly,0.1,0.01,1,1000,0.4783066192176193,0.5426589970011264,14.704836488002911
